iter	Passed	Remaining
403	10162	40147
404	10187	40121
405	10214	40102
406	10239	40076
407	10262	40043
408	10285	40010
409	10311	39986
410	10329	39936
411	10350	39894
412	10375	39869
413	10400	39843
414	10428	39828
415	10453	39803
416	10479	39782
417	10503	39750
418	10524	39711
419	10546	39674
420	10570	39644
421	10594	39617
422	10620	39594
423	10640	39550
424	10665	39526
425	10690	39498
426	10719	39489
427	10762	39529
428	10784	39491
429	10803	39445
430	10825	39408
431	10853	39394
432	10879	39373
433	10905	39350
434	10928	39318
435	10950	39282
436	10978	39266
437	10996	39214
438	11017	39175
439	11037	39132
440	11062	39108
441	11084	39071
442	11110	39048
443	11131	39010
444	11154	38977
445	11176	38943
446	11208	38941
447	11228	38900
448	11250	38864
449	11275	38839
450	11298	38806
451	11322	38776
452	11351	38765
453	11378	38746
454	11408	38738
455	11433	38715
456	11461	38697
457	11487	38676
458	11509	38641
459	11532	38609
460	11558	38586
461	11579	38549
462	11601	38513
463	11627	38491
464	11652	38464
465	11671	38422
466	11690	38376
467	11716	38354
468	11738	38317
469	11763	38294
470	11789	38271
471	11812	38240
472	11841	38228
473	11866	38202
474	11887	38166
475	11914	38145
476	11940	38125
477	11967	38104
478	11986	38060
479	12006	38019
480	12025	37977
481	12053	37962
482	12076	37929
483	12103	37909
484	12123	37869
485	12144	37833
486	12171	37814
487	12193	37779
488	12213	37740
489	12238	37715
490	12263	37688
491	12285	37656
492	12307	37621
493	12328	37584
494	12351	37554
495	12373	37520
496	12400	37499
497	12424	37473
498	12448	37445
499	12473	37419
500	12499	37397
501	12523	37369
502	12550	37351
503	12574	37324
504	12595	37288
505	12620	37262
506	12641	37226
507	12667	37204
508	12692	37180
509	12714	37145
510	12738	37119
511	12763	37095
512	12784	37058
513	12805	37021
514	12831	36999
515	12855	36972
516	12882	36952
517	12903	36917
518	12925	36884
519	12952	36865
520	12977	36840
521	13002	36814
522	13026	36786
523	13046	36748
524	13071	36723
525	13095	36698
526	13117	36664
527	13140	36635
528	13164	36605
529	13189	36582
530	13219	36570
531	13244	36547
532	13274	36534
533	13301	36517
534	13326	36492
535	13347	36457
536	13374	36436
537	13394	36399
538	13420	36377
539	13445	36353
540	13471	36329
541	13494	36300
542	13518	36274
543	13544	36251
544	13570	36230
545	13589	36188
546	13615	36167
547	13638	36137
548	13658	36100
549	13680	36067
550	13701	36030
551	13724	36002
552	13749	35977
553	13773	35949
554	13797	35923
555	13825	35905
556	13850	35881
557	13878	35865
558	13900	35832
559	13925	35808
560	13951	35785
561	13977	35765
562	13998	35730
563	14020	35697
564	14044	35671
565	14066	35638
566	14088	35605
567	14111	35577
568	14134	35548
569	14156	35515
570	14181	35491
571	14205	35464
572	14225	35427
573	14249	35400
574	14275	35377
575	14298	35349
576	14322	35321
577	14345	35292
578	14371	35270
579	14397	35247
580	14424	35228
581	14445	35195
582	14471	35173
583	14496	35147
584	14518	35117
585	14545	35097
586	14569	35070
587	14591	35038
588	14615	35012
589	14641	34991
590	14666	34966
591	14692	34944
592	14716	34918
593	14742	34895
594	14762	34859
595	14789	34838
596	14808	34802
597	14832	34773
598	14857	34749
599	14882	34724
600	14908	34702
601	14931	34674
602	14957	34652
603	14987	34640
604	15012	34615
605	15033	34581
606	15058	34557
607	15085	34537
608	15110	34512
609	15136	34490
610	15157	34456
611	15178	34425
612	15203	34401
613	15228	34376
614	15248	34341
615	15274	34318
616	15300	34295
617	15322	34265
618	15346	34238
619	15366	34203
620	15391	34178
621	15420	34162
622	15454	34158
623	15483	34142
624	15504	34109
625	15539	34106
626	15568	34091
627	15598	34078
628	15646	34104
629	15682	34103
630	15722	34112
631	15758	34111
632	15784	34086
633	15813	34070
634	15838	34046
635	15863	34021
636	15890	34000
